Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Bauckhage, Christian; Cvejoski, Kostadin; Ojeda, Cesar; Schücker, Jannis; Sifa, Rafet; ",Adiabatic Quantum argmax Computation,,,,,2018,"researchgate, Tech. Rep"
"Backhage, Christian; Cvejoski, Kostadin; Ojeda, César; Sifa, Rafet; ",Beyond spectral clustering: a comparative study of community detection for document clustering,Data Science–Analytics and Applications: Proceedings of the 1st International Data Science Conference–iDSC2017,,,33-38,2017,Springer Fachmedien Wiesbaden
"Cvejoski, Kostadin; Sanchez, Ramses J; Georgiev, Bogdan; Schuecker, Jannis; Bauckhage, Christian; Ojeda, Cesar; ",Recurrent point processes for dynamic review models,arXiv preprint arXiv:1912.04132,,,,2019,
"Bauckhage, Christian; Brito, Eduardo; Cvejoski, Kostadin; Ojeda, Cesar; Sifa, Rafet; ",Adiabatic Quantum Graph Clustering,,,,,,
"Sifa, Rafet; Ojeda, Cesar; Cvejoski, Kostadin; Bauckhage, Christian; ",Interpretable matrix factorization with stochasticity constrained nonnegative DEDICOM,Proc. KDML,,,,2017,
"Ojeda, César; Cvejosky, Kostadin; Sánchez, Ramsés J; Schuecker, Jannis; Georgiev, Bogdan; Bauckhage, Christian; ",Recurrent adversarial service times,arXiv preprint arXiv:1906.09808,,,,2019,
"Bauckhage, Christian; Brito, Eduardo; Cvejoski, Kostadin; Ojeda, Cesar; Sifa, Rafet; Wrobel, Stefan; ",Adiabatic quantum computing for binary clustering,arXiv preprint arXiv:1706.05528,,,,2017,
"Brito, Eduardo; Sifa, Rafet; Cvejoski, Kostadin; Ojeda, César; Bauckhage, Christian; ",Towards German word embeddings: A use case with predictive sentiment analysis,Data Science–Analytics and Applications: Proceedings of the 1st International Data Science Conference–iDSC2017,,,59-62,2017,Springer Fachmedien Wiesbaden Wiesbaden
"Marin, César Ali Ojeda; Cvejoski, Kostadin; Sifa, Rafet; Schuecker, Jannis; Bauckhage, Christian; ",Patterns and Outliers in Temporal Point Processes,,,,,,
"Ojeda, César; Cvejoski, Kostadin; Sifa, Rafet; Bauckhage, Christian; ",Variable Attention and Variable Noise: Forecasting User Activity.,LWDA,,,347-358,2016,
"Ojeda, César; Cvejoski, Kostadin; Sifa, Rafet; Bauckhage, Christian; ",Inverse dynamical inheritance in stack exchange taxonomies,Proceedings of the International AAAI Conference on Web and Social Media,11,1,644-647,2017,
"Ojeda, César Ali Marin; Cvejoski, Kostadin; Sifa, Rafet; Schuecker, Jannis; Bauckhage, Christian; ",Patterns and outliers in temporal point processes,Intelligent Systems and Applications: Proceedings of the 2019 Intelligent Systems Conference (IntelliSys) Volume 1,,,507-526,2020,Springer International Publishing
"Bauckhage, Christian; Brito, Eduardo; Cvejoski, Kostadin; Ojeda, César; Schücker, Jannis; Sifa, Rafet; ",Towards shortest paths via adiabatic quantum computing,Proc. Mining Learn. Graphs,,,,2018,
"Bauckhage, Christian; Brito, Eduardo; Cvejoski, Kostadin; Ojeda, César; Sifa, Rafet; Wrobel, Stefan; ",Ising models for binary clustering via adiabatic quantum computing,"Energy Minimization Methods in Computer Vision and Pattern Recognition: 11th International Conference, EMMCVPR 2017, Venice, Italy, October 30–November 1, 2017, Revised Selected Papers 11",,,3-17,2018,Springer International Publishing
"Ojeda, César; Biesner, David; Sanchez, Ramses; Cvejoski, Kostadin; Schuecker, Jannis; Bauckhage, Christian; Georgiev, Bodgan; ",Auto-Encoding Explanatory Examples,,,,,,
"Cvejoski, Kostadin; Sánchez, Ramsés J; Georgiev, Bogdan; Bauckhage, Christian; Ojeda, César; ",Recurrent point review models,2020 International Joint Conference on Neural Networks (IJCNN),,,1-8,2020,IEEE
"Biesner, David; Cvejoski, Kostadin; Georgiev, Bogdan; Sifa, Rafet; Krupicka, Erik; ",Generative deep learning techniques for password generation,arXiv preprint arXiv:2012.05685,,,,2020,
"Olari, Viktoriya; Cvejoski, Kostadin; Eide, Øyvind; ",Introduction to machine learning with robots and playful learning,Proceedings of the AAAI Conference on Artificial Intelligence,35,17,15630-15639,2021,
"Ojeda, César; Georgiev, Bogdan; Cvejoski, Kostadin; Schucker, Jannis; Bauckhage, Christian; Sánchez, Ramsés J; ",Switching dynamical systems with deep neural networks,2020 25th International Conference on Pattern Recognition (ICPR),,,6305-6312,2021,IEEE
"Ojeda, César; Sánchez, Ramsés J; Cvejoski, Kostadin; Schücker, Jannis; Bauckhagez, Christian; Georgievz, Bogdan; ",Auto Encoding Explanatory Examples with Stochastic Paths,2020 25th International Conference on Pattern Recognition (ICPR),,,6219-6226,2021,IEEE
"Ojeda, César; Cvejoski, Kostadin; Georgiev, Bodgan; Bauckhage, Christian; Schuecker, Jannis; Sánchez, Ramsés J; ",Learning deep generative models for queuing systems,Proceedings of the AAAI Conference on Artificial Intelligence,35,10,9214-9222,2021,
"Biesner, David; Cvejoski, Kostadin; Georgiev, Bogdan; Sifa, Rafet; Krupicka, Erik; ",Advances in password recovery using generative deep learning techniques,"Artificial Neural Networks and Machine Learning–ICANN 2021: 30th International Conference on Artificial Neural Networks, Bratislava, Slovakia, September 14–17, 2021, Proceedings, Part III 30",,,15-27,2021,Springer International Publishing
"Cvejoski, Kostadin; Sánchez, Ramsés J; Bauckhage, Christian; Ojeda, César; ",Dynamic Review-based Recommenders,Data Science–Analytics and Applications: Proceedings of the 4th International Data Science Conference–iDSC2021,,,66-71,2022,Springer Fachmedien Wiesbaden Wiesbaden
"Cvejoski, Kostadin; Schuecker, Jannis; Mahlein, Anne-Katrin; Georgiev, Bogdan; ",Combining expert knowledge and neural networks to model environmental stresses in agriculture,arXiv preprint arXiv:2111.00918,,,,2021,
"Wörmann, Julian; Bogdoll, Daniel; Brunner, Christian; Bührle, Etienne; Chen, Han; Chuo, Evaristus Fuh; Cvejoski, Kostadin; van Elst, Ludger; Gottschall, Philip; Griesche, Stefan; ",Knowledge augmented machine learning with applications in autonomous driving: A survey,arXiv preprint arXiv:2205.04712,,,,2022,
"von Rueden, Laura; Houben, Sebastian; Cvejoski, Kostadin; Bauckhage, Christian; Piatkowski, Nico; ",Informed pre-training on prior knowledge,arXiv preprint arXiv:2205.11433,,,,2022,
"Cvejoski, Kostadin; ",Studying Dynamics of User Behavior. Heterocedastic Time Series Forecasting and Clustering of Inhomogeneous Poisson Process,,,,,2016,University of Bonn
"Sánchez, Ramsés J; Conrads, Lukas; Welke, Pascal; Cvejoski, Kostadin; Ojeda, César; ",Hidden Schema Networks,arXiv preprint arXiv:2207.03777,,,,2022,
"Biesner, David; Cvejoski, Kostadin; Sifa, Rafet; ",Combining variational autoencoders and transformer language models for improved password generation,"Proceedings of the 17th International Conference on Availability, Reliability and Security",,,1-6,2022,
"Cvejoski, Kostadin; Sánchez, Ramsés J; Ojeda, César; ",The future is different: Large pre-trained language models fail in prediction tasks,arXiv preprint arXiv:2211.00384,,,,2022,
"Cvejoski, Kostadin; Sánchez, Ramsés J; Ojeda, César; ",Neural dynamic focused topic model,Proceedings of the AAAI Conference on Artificial Intelligence,37,11,12719-12727,2023,
"Seifner, Patrick; Cvejoski, Kostadin; Körner, Antonia; Sánchez, Ramsés J; ",Foundational inference models for dynamical systems,arXiv preprint arXiv:2402.07594,,,,2024,
"Rüden, Laura von; Houben, Sebastian; Cvejoski, Kostadin; Bauckhage, Christian; Piatkowski, Nico; ",Informed Pre-Training on Prior Knowledge,,,,,2022,
"Cvejoski, Kostadin; ",Deep Dynamic Language Models,,,,,2024,Universitäts-und Landesbibliothek Bonn
"Berghaus, David; Cvejoski, Kostadin; Seifner, Patrick; Ojeda, Cesar; Sanchez, Ramses J; ",Foundation Inference Models for Markov Jump Processes,arXiv preprint arXiv:2406.06419,,,,2024,
"Cvejoski, Kostadin; Sánchez, Ramsés J; Ojeda, César; ",The Future is Different: Predicting Reddits Popularity with Variational Dynamic Language Models,Joint European Conference on Machine Learning and Knowledge Discovery in Databases,,,422-439,2024,Springer Nature Switzerland Cham
